Japanese,English
夕立に遭いました。,I was caught in an evening shower.
彼女を説得しようとしても無駄だ。,It's no use trying to persuade her.
今、トムは食べれないのよ。,Tom can't eat now.
彼女は猫を二匹飼っています。一匹は白くて、もう一匹は黒です。,She has two cats. One is white and the other one is black.
あたりは静かだ。,All is quiet.
彼は腕の良い大工だ。,He is a good carpenter.
生年月日はいつ？,What is your date of birth?
レギュラー満タンでお願いします。,"Fill it with regular, please."
両国の間では貿易摩擦がいつ生じてもおかしくない。,Trade friction might arise between the nations at any moment.
今、最後の仕上げをするところです。,I'm adding the finishing touches now.
トムはよく木登りしてるよ。,Tom often climbs trees.
彼は経験豊かな教師だ。,He is an experienced teacher.
トムが結婚してたの知ってた？,Did you know Tom was married?
学校を卒業したら留学するつもりです。,I will study abroad when I have finished school.
彼は住居に侵入した。,He broke into a house.
肩を痛めた。,I hurt my shoulder.
早く出発することに意見が一致した。,We agreed on an early start.
雨が降るといけないから傘を持って行った方がいいよ。,I think you'd better take an umbrella in case it rains.
それ拾って。,Pick it up.
トムっていい車運転してるよね。,Tom drives a nice car.
メアリーはトムの末娘だよ。,Mary is Tom's youngest daughter.
何するつもり。,What do you intend to do?
あなたは何を見たのですか。,What did you see?
雨は１日中降り続いた。,The rain continued all day.
まだ働いてます。,I'm still at work.
彼は危うく溺死するところだった。,He was almost drowned.
ひとりにさせて！,Leave me alone.
君もそこに居たのか？,"Were you there, too?"
トムはメアリーの笑顔に騙されたんだ。,Tom was taken in by Mary's smile.
またお目にかかるのを楽しみにしています。,I'm looking forward to seeing you again.
空港までどれくらい距離がありますか。,How far is it to the airport?
私に用があるときはベルを鳴らして下さい。,Ring the bell when you want me.
違うことを考えてるようだね。,You seem to be thinking of something else.
それについて誰も文句は言わなかった。,No one complained about that.
彼は兄弟がいますか。,Does he have any brothers?
彼は私に素敵なプレゼントをくれました。,He gave a nice present to me.
彼女は彼のことが好きです。,She likes him.
僕は異常な物音を聞いた。,I heard an unusual sound.
彼は暗がりを怖がった。,He was afraid of the dark.
火事の場合はこのボタンを押してください。,"In case of fire, press this button."
その患者は今すぐにでも亡くなるかもしれない。,The patient may pass away at any moment.
Tシャツが後ろ前だよ。,You have your T-shirt on backwards.
ギターを演奏するのは面白い。,Playing the guitar is fun.
食事をする時間はたっぷりある。,We have enough time to eat.
御免なさい。,I apologize.
また後でかけます。,I'll call again later.
トムは２０１３年に卒業した。,Tom graduated in 2013.
長く滞在するご予定なんですか？,Are you going to stay long?
もうあそこには行かないよ。,I won't go there anymore.
これは君へのプレゼントだ。,This is a present for you.
トムはヒーターの前に手をかざした。,Tom held his hands in front of the heater.
何をやっても無駄だよ。,It's no use trying anything.
私達はピクニックに行くのが大好きです。,We love going on picnics.
車で家まで送ってもらえませんか？,Will you drive me home?
私の荷物が見当たらないの。,My baggage is missing.
高そうには見えないよ。,It doesn't look expensive.
クッキーを全部食べてしまったのはだぁれ？,Who has eaten all the cookies?
お前には関係ない。,This has nothing to do with you.
欲しいものは全て手に入れたよ。,I got everything I wanted.
私は警官だ。,I'm a policeman.
ここに住んでるの？,Do you live here?
流れを渡っている間に馬を取り替えるな。,Never swap horses while crossing a stream.
「昨日何時まで起きてたの？」「2時半ぐらい」,"How late did you stay up last night? ""I was up until about 2:30."""
こんなばかげた質問をするのはお恥ずかしい。,I'm ashamed to ask you such a silly question.
トムは興味がないんだって。,Tom said that he wasn't interested.
もっと新鮮な野菜を食べなさい。,Eat more fresh vegetables.
トムってめちゃめちゃ忘れっぽいよね？,"Tom is very forgetful, isn't he?"
湖の深さはどのくらいですか。,How deep is the lake?
このドアが、どうしても開かなかったんです。,This door would not open.
君の英語は上達したね。,Your English has gotten better.
いつゴルフを始めましたか?,When did you start playing golf?
慌てるな！,Don't panic.
晩ご飯までどれくらいかかる？,How long will it be to dinner?
トムって行間読むの下手だよね。,Tom isn't good at reading between the lines.
彼は勉強中です。,He's studying.
価格は需要と供給によって決まる。,Prices depend on supply and demand.
ハンドローションが欲しいのよ。,I need hand lotion.
今日は街へ繰り出すぞ！,I'm going downtown today.
彼らは話すために立ち止まった。,They stopped to talk.
オーストラリアには何回行ったことがある？,How many times have you visited Australia?
バスはあと15分で駅に到着します。,The bus will arrive at the station in fifteen minutes.
封筒をください。,I need an envelope.
家事を手伝ってくれる人が欲しいのよ。,I need someone to help me with housework.
