Japanese,English
平将頼,TAIRA no Masayori
集書院,Shushoin Library
行基,Gyoki
巨勢光康,KOSE no Mitsuyasu
加納宿,Kano-juku
堀川今出川東入,Horikawa-Imadegawa-dori Higashi Iru (to the east of Horikawa-Imadegawa)
小田原,Odawara
鬼道,kido
日野宣子,Nobuko HINO
徳川治宝,Harutomi TOKUGAWA
比叡山黒谷,Hieizan Kurodani
首の墓,tumulus of head
楽道,Gakudo(school of Japanese Court Music)
十行（じゅうぎょう）,"Jugyo, Ten Behavioral Activities"
修験道廃止令,a decrees dismissing Shugendo
京都全日空ホテル,ANA Hotel Kyoto
銀製葵簪,siver hollyhock kanzasi
武道家,martial artist
東寺御影堂,Mie-do Hall of To-ji Temple 
京都嵯峨野郵便局,Kyoto Sagano Post Office
猪首切先,bull neck tip
濱野政随,Sezui HAMANO
国際十進分類法 (UDC),Universal Decimal Classification (UDC)
架空電車線方式,overhead line system
保存会,Preservation society
飯盛山城の戦い,the Battle of Imoriyama-jo Castle
東松山,Higashimatsuyama
五条天神社,Gojoten-jinja Shrine
万寿寺中之町,Manjuji Nakanocho
勧持品（かんじほん）,Kanjihon
大見尾根,Omione ridge
京都御池創生館,Kyoto Oikesouseikan
篠山市篠山伝統的建造物群保存地区,Sasayama City Preservation District for Groups of Historic Sasayama Buildings
清河八郎,Hachiro KIYOKAWA
私聚百因縁集,Shishuhyakuinnenshu
茶盆,tea tray
延暦寺西塔,"Enryaku-ji Temple Saito, West Tower"
相楽郡,Soraku-gun 
中納言藤原定頼,Chunagon (vice-councilor of state) FUJIWARA no Sadayori
鵜飼,ukai (cormorant fishing)
霊沼,a miraculous marsh
三条長尾家,Sanjo Nagao Family
網島駅,Amijima Station
良民,Ryomin (law-abiding people)
土佐光信,Mitsunobu TOSA
木津警察署和束派出所,Kizu Police Station Wazuka police box
琵琶湖疏水,Lake Biwa Canal
須賀神社,Suga-jinja Shrine
玉鬘,Tamakazura
慶派,Keiha school
冷泉為相女,the daughter of Tamesuke REIZEI
削・転封,deminishing /changing the territory
構図,composition
岩戸山,"Iwato yama (a decorative float associated with Japanese mythology called ""Kuniumi (the story about gods creating of Japan)"" and ""Ama no Iwato (a rock cave where the sun god was hidden out)"")"
支藩,branch domain
剣術,swordplay
小与八番,Koyo-Hachiban
補任,appoint
左兵衛佐如元,"Sahyoe-no-suke, as it was"
宝殿,a holy shrine
首席全権,Chief delegate
金粉,kinpun (gold dust)
聖霊院,Shoryoin
伏見郵便局,Fushimi Post Office
勧湛,Kantan
牛車,ox-drawn carriage
緒仁親王,Imperial Prince Ohito
長州藩士,a feudal retainer of Choshu Domain
国土地理院,Geographical Survey Institute
梶井義承,Ｇｉｊｏ　ＫＡＪＩＩ
山内首藤氏,Yamanouchi-Sudo clan
六日市,Muikaichi
挿頭,kazashi (flowers worn in one's hair in shrine ritual)
海上保安庁,Japan Coast Guard
筑波大学,University of Tsukuba
中島華陽,Kayo NAKAJIMA
手白香皇女,Princess Tashiraka
法印,hoin
複巻電動機,compound motor
具正神半跏像,statue of a half lotus positioned Gusho-shin
京都市北消防署,"North Fire Station, Kyoto City"
春は曙,The best time in spring is dawn
梅小路駅,Umekoji Station
多田頼綱,TADA no Yoritsuna
亀寿丸,Kamejumaru
堂塔伽藍一宇,"Doto-garan Ichiu (a set of buildings in a temple, such as a main hall, pagoda and temple)"
細川政賢,Masayoshi HOSOKAWA
明治建築,Meiji Architecture
ホテルパシフィック東京,Hotel Pacific Tokyo
勤皇派,pro-Imperialist
一色教親,Norichika ISSHIKI
造園家,a gardener
久々知,Kukuchi
村屋坐弥冨都比売神社,Murayaniimasumifutsuhime-jinja Shrine
えりも農場,Erimo farm
藤堂家,the Todo family
岩崎陽子,IWASAKI Yoko
南丹保健所,Nantan healthcare center
五條市畑田町,"Hatakeda-cho, Gojo City"
普及品,a popular edition
儒者,a Confucian
大進,Taijo (Senior Secretary)
近畿三十六不動尊第十八番,the tenth temple of the 36 Fudoson in Kinki
ブッダ,Buddha
立藩,founding a domain
醤油だれ団子,thick-liquid of soy-sauce dumplings
今道,Imamichi
清水吾一,Goichi SHIMIZU
禅林文化,Zenrin Culture
たかばし,Takabashi
弁阿,Bena
浄土庭園,Jodo Teien
紙王寺,Gio-ji Temple
朝日の間,Rising Sun Room (Asahi-no-ma)
孝霊天皇,the Emperor Korei
菅原匡文,SUGAWARA no Masabun
文学研究科,Graduate School of Literary Studies
字円明寺,Aza Enmyoji
笠取IC,Kasatori Interchange
先染め,previously dyed yarn
加悦町,Kaya-cho
源光庵,Genko-an Temple
真如相廻向,Transference of the mark of True Suchness
源広綱,MINAMOTO no Hirotsuna
京都市下京区役所,Shimogyo Ward Office in Kyoto City
戦国初期,the Early Sengoku Period (The Early Period of Warring States)
ケーブル坂本駅（ケーブルさかもとえき）,Cable Sakamoto Station
書跡,caligraphy
大仏宣時,Nobutoki OSARAGI
藤原忠実,FUJIWARA no Tadazane
浅見絅斎,Keisai ASAMI
重要文化財指定の建造物,architecture designated as the important cultural properties
十一面観世音菩薩立像,a standing statue of Eleven-faced Kannon Bosatsu
久世ふれあいセンター図書館,Kuze Fureai Center Library
新伽羅,Shin-kyara
京都ホテルオークラ 停留所,Kyoto Hotel Okura bus stop
後鳥羽天皇像,the portrait of the Emperor Gotoba
帝産湖南交通,Teisan Konan Kotsu
水源,riverhead
渡岸寺,Dogan-ji Temple
神鉄 (神戸電鉄),"Shintetsu (Kobe Electric Railway Co.,Ltd.)"
大神神社,Omiwa-jinja Shrine
久下時重,Tokishige KUGE
浄瑠璃世界,"Joruri-sekai, the realm known as Joruri or Pure Lapis Lazuli in the eastern quarter, Sk: Vaiduryanirbhasa"
再出仕,attendance again
式内社,Shikinai-sha
河内長野市,Kawachinagano City
道深法親王,Cloistered Imperial Prince Doshin
EU資料センター,EU Information Center
丁寧語,courteous expression
中川清秀,Kiyohide NAKAGAWA
舞鶴市大浦地区,"Oura district, Maizuru City"
東伏見邦英,Kunihide HIGASHIFUSHIMI
補助役,an assistant
実用漆工術,Jitsuyo Shikkojutsu
洞院実煕,TOIN
淀屋橋,Yodoyabashi
上中駅,Kaminaka Station
神事,Shinto rituals
鳳凰,hoo 
遊義門院一条局,Yugimonin Ichijo no tsubone
一条直子,Naoko ICHIJO
三河国伊保藩,"domain of Iho, Mikawa-no-kuni"
邦家親王,Imperial Prince Kuniie
日朗,Nichiro
鹿島萩麿,Hagimaro KASHIMA
地蔵寺,Jizo-ji Temple
律旋法,"Rissenpo (Japanese seven-tone gagaku scale (corresponding to: re, mi, fa, so, la, ti, do))"
大中臣能宣,ONAKATOMI no Yoshinobu
稲敷市,Inashiki City
四神の御守,four guardian gods
面皮柱,menkawabashira
六郎,Rokuro
参禅,practice Zen 
竹田久保町,Takeda Kubocho
亀山地区,Kameyama Area
紗,sha
下地骨,a basic frame (a fundamental frame)
花園橋,Hanazono-bashi Bridge
朱雀大路,Suzaku-oji Street
